"ID","MonthlyIncome"
871,5864.03123909103
872,2948.46171422814
873,13504.3810513745
874,2654.50412615743
875,2508.94360127962
876,5074.06638775632
877,4733.16858541423
878,2022.23218299347
879,2816.18548098321
880,13531.8679890474
881,9485.71039728616
882,2779.51333347209
883,5701.97092345719
884,5647.4503532921
885,6103.59899359326
886,5535.20617011163
887,6019.6480630935
888,5014.78195005147
889,4640.15816003234
890,3440.10734594413
891,4867.03808144296
892,8975.04454749141
893,8967.28250826846
894,5695.49103405185
895,10050.4797765018
896,9308.4600041924
897,8591.92089520884
898,16052.5110156232
899,5426.2537974213
900,2909.4435555057
901,2868.94070038887
902,5298.91709445132
903,6025.32945785682
904,3472.65571408108
905,16467.3856487462
906,4932.62335834657
907,9762.22336278526
908,5908.09593370166
909,2834.27835029751
910,2810.7366425403
911,19559.4551456108
912,3237.56514106209
913,2695.31187872173
914,12984.3184021001
915,5960.69812322921
916,4553.14302769848
917,2621.48402313112
918,5404.23140159865
919,2408.14583014427
920,3137.99407507104
921,2450.33857858912
922,3003.96972026918
923,4592.03169318902
924,4205.24112652427
925,16656.556216275
926,3132.92545534608
927,5766.38046231326
928,12996.1836288091
929,2427.82845407702
930,2782.54606820325
931,5376.60262085083
932,12747.0879620353
933,9143.66572736682
934,2687.6814622664
935,2467.97608304939
936,2209.63234290666
937,9545.89172270571
938,9748.86845504833
939,5378.90051084475
940,2335.17932523895
941,3202.40415866445
942,9427.97539930334
943,9913.46879890127
944,6058.40328583807
945,2205.12849973678
946,5444.51779157125
947,2482.9469302632
948,2766.78375265106
949,2754.33926477745
950,5485.40780604976
951,2941.68112392409
952,5487.61289364571
953,5246.63733290538
954,2578.03538371182
955,4059.16533296638
956,8192.02131543869
957,10706.5342982849
958,2636.27369362894
959,9603.7826809683
960,19864.0552045521
961,2695.88932563597
962,4957.0498102192
963,5771.50151192761
964,4913.87155322555
965,3016.27034869044
966,19507.8397413911
967,2827.7941078573
968,9529.92862417484
969,16893.5101166418
970,2489.52512469586
971,5676.43669204871
972,5630.42507103077
973,2700.63148609005
974,2314.39213004104
975,5868.97408843034
976,2920.67589201229
977,6265.36940458997
978,2326.07101526884
979,9235.37085127514
980,19529.7079822686
981,2804.71624082815
982,9433.39152099354
983,3179.93609705248
984,2442.60472294023
985,5956.35548606968
986,2882.70899913769
987,3040.50790315846
988,5064.7571600379
989,9198.59018796551
990,2955.06506101853
991,5452.94533055475
992,2842.17953689357
993,5103.90996903361
994,5409.09712128076
995,4862.53538377306
996,5167.25484949881
997,2895.31577414432
998,17118.2863779554
999,9331.55682642032
1000,2356.13920668501
1001,5293.56048049413
1002,4615.62678521747
1003,4515.08675391528
1004,6359.75733162
1005,3165.74919776089
1006,5803.51426349644
1007,2402.13359954308
1008,5934.97880697587
1009,19547.2199337785
1010,5050.72811349041
1011,9339.39750678999
1012,4952.04116314071
1013,5650.78382060468
1014,4509.02370380669
1015,5363.92931246063
1016,2639.0397210639
1017,2628.91648069143
1018,8431.58270022234
1019,9196.90050969963
1020,2259.94427831867
1021,5377.26521806103
1022,4799.60398690477
1023,4972.20050199023
1024,9950.94212172419
1025,16542.3865998167
1026,18571.5030184804
1027,4862.68095359002
1028,5772.30087222911
1029,5441.44601147687
1030,9309.15944547707
1031,5368.86450369059
1032,3446.28049712253
1033,12749.2124396699
1034,2827.64402549914
1035,4034.16428667309
1036,2729.47424804516
1037,5409.61354255541
1038,8515.67299571631
1039,12858.5036207415
1040,5495.96667571409
1041,2049.48864536287
1042,3398.3391576593
1043,9117.34850639294
1044,6283.8353971684
1045,2417.27674605784
1046,2199.00903984515
1047,5555.55845555999
1048,12637.8043378347
1049,2621.34789781965
1050,5750.36650070946
1051,9645.92015917419
1052,2551.59030325736
1053,5845.22765920648
1054,2870.5270232862
1055,2726.75198197787
1056,2729.14997733687
1057,5971.06096774037
1058,16053.8713303162
1059,5252.08752309753
1060,3097.690791112
1061,5326.66651750005
1062,5955.29894238012
1063,5811.6870804749
1064,2060.6555560408
1065,5649.05855629593
1066,2660.68304527862
1067,3780.44330577075
1068,19705.6166912552
1069,5100.19145013836
1070,2660.81392328687
1071,3045.21018263186
1072,6024.94990230218
1073,2660.00889755089
1074,5819.01968116558
1075,5164.96748175126
1076,16482.9607009313
1077,19223.1494999863
1078,4273.35081313839
1079,4618.06566491016
1080,4958.17663045764
1081,3523.35253303009
1082,3130.39084128703
1083,1988.83728581249
1084,6103.34653113379
1085,8825.46369820294
1086,9263.29418746655
1087,5651.52433409262
1088,2435.45868323092
1089,3196.26553366012
1090,5455.71832436052
1091,5310.69794057569
1092,5728.89732825676
1093,12155.9665603337
1094,5219.7493288439
1095,5276.29654971258
1096,5920.11285212844
1097,3384.66483263354
1098,2461.52169561869
1099,2487.62638495502
1100,5882.04257709957
1101,19389.0472737228
1102,5487.93918849269
1103,5688.56183391169
1104,10438.655879051
1105,3194.43413142121
1106,2293.78038307985
1107,3181.88057985334
1108,5273.50983595115
1109,5142.032254522
1110,5482.29916931389
1111,5454.62142207834
1112,12671.0320977407
1113,12946.6743285635
1114,5955.6980106702
1115,9951.89129575783
1116,2746.03337627202
1117,6292.63719308319
1118,4508.61918614582
1119,9522.65157917332
1120,2442.05215669061
1121,9247.67720083533
1122,17052.2949692435
1123,5201.85864807853
1124,16618.7867343887
1125,2863.22026604232
1126,2173.94987692267
1127,2501.66858091008
1128,4822.75406126845
1129,16142.2856703123
1130,2960.38841018416
1131,12767.2448047139
1132,16744.9986171992
1133,6143.21770525792
1134,2085.25536205316
1135,2515.52664562787
1136,2879.11514322993
1137,3031.84023206579
1138,5323.48807129773
1139,9233.73134017129
1140,16391.7454911006
1141,5884.53276219476
1142,5637.19166259481
1143,10430.4970486699
1144,5747.75732522726
1145,4692.34630254112
1146,5337.78909129925
1147,4608.11444356045
1148,2703.39835065507
1149,2805.23595841099
1150,5977.15257087583
1151,2574.9489639309
1152,5872.6695884966
1153,5183.94129687949
1154,2433.93366267575
1155,5995.68472619566
1156,12930.3859344561
1157,2312.37354921805
1158,4852.21468335676
1159,2715.07981344876
1160,5566.3891935427
1161,3080.9596950553
1162,8999.08832439583
1163,2741.75492910236
1164,9239.67570616184
1165,2646.73765090019
1166,1835.95324651073
1167,9814.94594755267
1168,5649.06662058576
1169,3141.18862986934
1170,2897.65870621366
